ID,NAME,ShortName,ADDRESS,NAICS,NAICSTitle,lat,lon
8012,MIRACOSTA COLLEGE,MiraCosta,"One Barnard Drive, Oceanside, CA 92056-3899",611210,Junior Colleges,33.1909,-117.3027
8035,KAPLAN COLLEGE-VISTA,Kaplan,"2022 University Drive, Vista, CA 92083-7736",611310,"Colleges, Universities, and Professional Schools",33.1725,-117.2207
8011,PALOMAR COLLEGE,Palomar,"1140 West Mission Road, San Marcos, CA 92069-1487",611210,Junior Colleges,33.1511,-117.1828
8020,CALIFORNIA STATE UNIVERSITY-SAN MARCOS,CSUSM,"333 South Twin Oaks Valley Road, San Marcos, CA 92096-0001",611310,"Colleges, Universities, and Professional Schools",33.128,-117.1586
8021,MIRACOSTA COLLEGE,MiraCosta,"3333 Manchester Avenue, Cardiff By Sea, CA 92007-1599
",611210,Junior Colleges,33.0179,-117.2588
8023,NATIONAL UNIVERSITY-RANCHO BERNARDO,National,"16875 West Bernardo Drive, Suite 150, San Diego,CA 92127-1675",611310,"Colleges, Universities, and Professional Schools",33.0193,-117.0802
8007,SAN DIEGO MIRAMAR COLLEGE,Miramar,"10440 Black Mountain Road, San Diego, CA 92126-2999",611210,Junior Colleges,32.9073,-117.1194
8004,ALLIANT INTERNATIONAL UNIVERSITY,Alliant,"10455 Pomerado Road, San Diego, CA 92131-1799",611310,"Colleges, Universities, and Professional Schools",32.8958,-117.0962
8001,UNIVERSITY OF CALIFONIA SAN DIEGO,UCSD,"9500 Gilman Drive, La Jolla, CA 92093",611310,"Colleges, Universities, and Professional Schools",32.8749,-117.2345
8025,NATIONAL UNIVERSITY-SPECTRUM,National,"9388 Lightwave Avenue, San Diego, CA 92123-1426",611310,"Colleges, Universities, and Professional Schools",32.8295,-117.1275
8008,GROSSMONT COLLEGE,Grossmont,"8800 Grossmont College Drive, El Cajon, CA 92020-1799",611210,Junior Colleges,32.8165,-117.0064
8016,NATIONAL UNIVERSITY-KEARNY MESA,National,"3678 Aero Court, San Diego, CA 92123
San Diego, CA 92123 
",611310,"Colleges, Universities, and Professional Schools",32.809,-117.1488
8005,SAN DIEGO MESA COLLEGE,Mesa,"7250 Mesa College Drive, San Diego, CA 92111-4998",611210,Junior Colleges,32.8038,-117.169
8000,SAN DIEGO STATE UNIVERSITY,SDSU,"5500 Campanile Drive, San Diego, CA 92182",611310,"Colleges, Universities, and Professional Schools",32.7759,-117.0707
8003,UNIVERSITY OF SAN DIEGO,USD,"5998 Alcala Park, San Diego, CA 92110-2492",611310,"Colleges, Universities, and Professional Schools",32.7716,-117.1917
8024,NATIONAL UNIVERSITY-LA MESA,National,"7787 Alvarado Road, La Mesa, CA 91941-3643",611310,"Colleges, Universities, and Professional Schools",32.7724,-117.0319
